date,real_interest_rate
1/1/03,1.48820174
1/2/03,1.466379
1/3/03,1.22359095
1/4/03,1.30961847
1/5/03,1.37072098
1/6/03,0.90511574
1/7/03,1.12868896
1/8/03,1.75170446
1/9/03,1.89723825
1/10/03,1.38081936
1/11/03,1.71390165
1/12/03,1.71357266
1/1/04,1.70195436
1/2/04,1.57158074
1/3/04,1.47016466
1/4/04,1.35814941
1/5/04,1.88324516
1/6/04,1.94657611
1/7/04,1.93379862
1/8/04,1.85580269
1/9/04,1.48469164
1/10/04,1.6871063
1/11/04,1.60768876
1/12/04,1.90953662
1/1/05,1.7792759
1/2/05,1.81315912
1/3/05,1.97934111
1/4/05,2.02052684
1/5/05,1.78986568
1/6/05,1.66688811
1/7/05,1.82002108
1/8/05,2.00821677
1/9/05,1.73569017
1/10/05,1.96704484
1/11/05,2.07568901
1/12/05,2.01834727
1/1/06,2.06484172
1/2/06,2.20441278
1/3/06,2.38362088
1/4/06,2.35839303
1/5/06,2.40637015
1/6/06,2.45080986
1/7/06,2.49634953
1/8/06,2.2982861
1/9/06,2.20605719
1/10/06,2.21206207
1/11/06,2.1998854
1/12/06,2.12213778
1/1/07,2.14807579
1/2/07,2.28715091
1/3/07,2.0249864
1/4/07,2.07748685
1/5/07,2.0318442
1/6/07,2.24630973
1/7/07,2.37357342
1/8/07,2.13388077
1/9/07,1.94622258
1/10/07,1.98911422
1/11/07,1.82624712
1/12/07,1.38696881
1/1/08,1.39949068
1/2/08,1.11112286
1/3/08,1.02522008
1/4/08,1.06289422
1/5/08,1.40051629
1/6/08,1.48755401
1/7/08,1.44558109
1/8/08,1.35649733
1/9/08,1.23957472
1/10/08,1.48506331
1/11/08,1.63162854
1/12/08,0.97537985
1/1/09,0.93854104
1/2/09,1.03930649
1/3/09,1.25074177
1/4/09,0.71281967
1/5/09,1.0174109
1/6/09,1.32210554
1/7/09,1.26690282
1/8/09,1.15904037
1/9/09,0.94923764
1/10/09,0.99714116
1/11/09,1.06141004
1/12/09,0.84804056
1/1/10,1.29792486
1/2/10,1.12451541
1/3/10,0.99873153
1/4/10,1.3091053
1/5/10,1.22638786
1/6/10,1.01936098
1/7/10,0.84675907
1/8/10,0.65616389
1/9/10,0.57706775
1/10/10,0.40880525
1/11/10,0.33888956
1/12/10,0.62620927
1/1/11,0.86397716
1/2/11,0.82968718
1/3/11,0.87385088
1/4/11,0.97750283
1/5/11,0.71147484
1/6/11,0.49226699
1/7/11,0.57395235
1/8/11,0.39497491
1/9/11,0.21493888
1/10/11,0.09856249
1/11/11,0.13706953
1/12/11,0.14446831
1/1/12,0.14610051
1/2/12,0.02185103
1/3/12,0.16923691
1/4/12,0.19464573
1/5/12,-0.08722198
1/6/12,-0.04815105
1/7/12,-0.05482603
1/8/12,-0.06008478
1/9/12,-0.16925714
1/10/12,-0.09317224
1/11/12,-0.00573705
1/12/12,-0.17237745
1/1/13,0.08440142
1/2/13,0.17210018
1/3/13,0.05034072
1/4/13,-0.02421188
1/5/13,-0.01939123
1/6/13,0.22769375
1/7/13,0.54638104
1/8/13,0.47506869
1/9/13,0.54083451
1/10/13,0.49296942
1/11/13,0.48963774
1/12/13,0.41829993
1/1/14,0.68063671
1/2/14,0.50867731
1/3/14,0.58045318
1/4/14,0.7022221
1/5/14,0.62685415
1/6/14,0.62452944
1/7/14,0.59099495
1/8/14,0.6494057
1/9/14,0.58085993
1/10/14,0.7009647
1/11/14,0.71330026
1/12/14,0.38472537
1/1/15,0.7099428
1/2/15,0.53838038
1/3/15,0.75170542
1/4/15,0.41032252
1/5/15,0.53392144
1/6/15,0.5537778
1/7/15,0.6670749
1/8/15,0.54830556
1/9/15,0.51245991
1/10/15,0.52877171
1/11/15,0.6662057
1/12/15,0.64742223
1/1/16,0.73450597
1/2/16,0.538738
1/3/16,0.55140742
1/4/16,0.34527268
1/5/16,0.41364983
1/6/16,0.51909852
1/7/16,0.16534694
1/8/16,0.22683746
1/9/16,0.2160743
1/10/16,0.28979681
1/11/16,0.34660933
1/12/16,0.70045658
1/1/17,0.72565107
1/2/17,0.77438158
1/3/17,0.91650302
1/4/17,0.76575378
1/5/17,0.7764088
1/6/17,0.73611135
1/7/17,0.72501612
1/8/17,0.67086016
1/9/17,0.56521264
1/10/17,0.72914351
1/11/17,0.75219045
1/12/17,0.57304923
1/1/18,0.87378801
1/2/18,1.08846929
1/3/18,1.02953583
1/4/18,1.01435433
1/5/18,1.2160918
1/6/18,1.24572814
1/7/18,1.15523371
1/8/18,1.25524162
1/9/18,1.1321469
1/10/18,1.30012681
1/11/18,1.30865835
1/12/18,1.25496666
1/1/19,1.04043434
1/2/19,1.06818285
1/3/19,0.51720765
1/4/19,0.42030375
1/5/19,0.5404288
1/6/19,0.42130162
1/7/19,0.44057188
1/8/19,0.42005179
1/9/19,0.23500552
1/10/19,0.36832453
1/11/19,0.43361185
1/12/19,0.51426493
1/1/20,0.50509631
1/2/20,0.31598579
1/3/20,-0.12783745
1/4/20,-0.11159442
1/5/20,-0.02785652
1/6/20,-0.15369936
1/7/20,-0.3453445
1/8/20,-0.407134
1/9/20,-0.34333693
1/10/20,-0.29173845
1/11/20,-0.21395564
1/12/20,-0.23232146
1/1/21,-0.23501721
1/2/21,-0.2308238
1/3/21,0.01250687
1/4/21,0.11804694
1/5/21,0.03694758
1/6/21,-0.00566485
1/7/21,0.03504108
1/8/21,-0.26101879
1/9/21,-0.19473087
1/10/21,0.08790114
1/11/21,0.16399788
1/12/21,0.09168917
1/1/22,0.3194951
1/2/22,0.44159289
1/3/22,0.34708992
1/4/22,0.94940027
1/5/22,1.20389776
1/6/22,1.02509351
1/7/22,1.06217493
1/8/22,0.8556253
1/9/22,1.20424868
1/10/22,1.79733203
1/11/22,1.93071305
1/12/22,1.57612515
1/1/23,1.78309897
1/2/23,1.42020217
1/3/23,2.05963636
1/4/23,1.44391386
1/5/23,1.53690406
1/6/23,1.06063107
1/7/23,1.4260473
1/8/23,1.60209539
1/9/23,1.69970754
1/10/23,2.08246076
1/11/23,2.09432864
1/12/23,1.68089907
1/1/24,1.68087145
